,MP3: BitRate = 32 kb/s,MP3: BitRate = 96 kb/s,MP3: BitRate = 128 kb/s,MP3: BitRate = 160 kb/s,MP3: BitRate = 192 kb/s,MP3: BitRate = 256 kb/s,MP3: BitRate = 320 kb/s,WAV: Bit Depth = 8,WAV: Bit Depth = 16,WAV: Bit Depth = 24
4000,"[120.59844207763672, 122.90470123291016, 141.7251739501953, 126.51637268066406, 119.4852294921875, 124.26799774169922, 120.49787139892578, 125.55997467041016, 122.24552154541016, 122.44857788085938, 127.63268280029297]","[122.52679443359375, 121.61055755615234, 138.72540283203125, 119.82371520996094, 121.2482681274414, 120.43854522705078, 119.41290283203125, 123.91365814208984, 122.99073791503906, 125.38674926757812, 127.932373046875]","[134.9457244873047, 121.6199951171875, 130.81143188476562, 126.5990982055664, 129.08592224121094, 127.74224853515625, 129.40406799316406, 129.48611450195312, 126.8833236694336, 122.05109405517578, 125.8792724609375]","[122.45963287353516, 132.8179931640625, 126.02090454101562, 127.17204284667969, 126.57198333740234, 126.12026977539062, 124.00884246826172, 127.14849853515625, 119.33011627197266, 130.09609985351562, 117.0711441040039]","[127.41434478759766, 123.08631896972656, 133.19158935546875, 125.87551879882812, 123.23931121826172, 125.6651382446289, 122.34093475341797, 125.23087310791016, 131.0680694580078, 119.33161163330078, 127.94525146484375]","[121.17232513427734, 116.24285888671875, 131.38345336914062, 126.97879791259766, 125.12554168701172, 125.0252685546875, 120.35931396484375, 121.94745635986328, 128.4111328125, 123.80609893798828, 127.55266571044922]","[122.3816146850586, 123.4479751586914, 136.8915252685547, 126.10260009765625, 120.23467254638672, 123.33152770996094, 125.55530548095703, 124.8909683227539, 126.4198226928711, 120.58366394042969, 127.60357666015625]","[149.25143432617188, 135.4942626953125, 142.8938751220703, 135.52886962890625, 140.9789276123047, 136.9939422607422, 141.02687072753906, 138.5584716796875, 138.67367553710938, 134.33689880371094, 139.70201110839844]","[114.20569610595703, 131.31199645996094, 140.32424926757812, 127.00798034667969, 134.2806396484375, 138.85047912597656, 133.893798828125, 134.139892578125, 133.64425659179688, 127.07756042480469, 160.8583221435547]","[117.90721893310547, 132.3184814453125, 142.7080535888672, 132.45852661132812, 136.2510528564453, 138.90438842773438, 134.7306671142578, 137.45440673828125, 127.70806121826172, 127.70132446289062, 127.43470001220703]"
8000,"[92.41461181640625, 99.37735748291016, 93.96305847167969, 98.40482330322266, 94.51217651367188, 98.81668090820312, 97.38105010986328, 96.27466583251953, 99.51447296142578, 94.99889373779297, 96.9079818725586]","[88.67691802978516, 98.0933837890625, 92.10136413574219, 97.1957015991211, 94.67574310302734, 98.4542007446289, 96.39522552490234, 96.56260681152344, 94.84355163574219, 94.79138946533203, 94.69230651855469]","[93.4525146484375, 99.39922332763672, 99.25694274902344, 99.1095199584961, 95.96134948730469, 101.2135238647461, 95.58824157714844, 92.31271362304688, 96.48377990722656, 90.49388885498047, 99.00232696533203]","[91.81101989746094, 93.7109146118164, 94.22215270996094, 97.1816635131836, 95.90995025634766, 99.89034271240234, 96.1875991821289, 93.96565246582031, 96.29561614990234, 90.65499877929688, 97.84830474853516]","[90.08890533447266, 98.90087890625, 89.00106811523438, 96.27105712890625, 96.01808166503906, 98.79467010498047, 93.48798370361328, 93.6111831665039, 96.21036529541016, 94.49224853515625, 98.0615005493164]","[96.43641662597656, 91.88329315185547, 100.60884094238281, 97.75191497802734, 91.36245727539062, 97.5582275390625, 93.51203155517578, 96.86827850341797, 87.52562713623047, 100.66010284423828, 98.1720962524414]","[90.69003295898438, 98.69336700439453, 96.6056900024414, 96.04093933105469, 93.9956283569336, 97.22161865234375, 94.80511474609375, 92.6639175415039, 96.77751922607422, 94.30916595458984, 98.11687469482422]","[97.55191040039062, 98.35065460205078, 105.50078582763672, 108.21847534179688, 103.0384521484375, 107.38748168945312, 101.47950744628906, 102.92947387695312, 105.20091247558594, 100.96333312988281, 102.23789978027344]","[97.02178192138672, 94.66300964355469, 100.30977630615234, 98.54377746582031, 95.64240264892578, 99.7496566772461, 95.46688079833984, 93.52840423583984, 97.64944458007812, 95.57940673828125, 96.63053131103516]","[93.83558654785156, 95.39389038085938, 101.6070327758789, 99.18939208984375, 94.14058685302734, 103.84254455566406, 97.49462890625, 94.70762634277344, 97.17955017089844, 95.95941925048828, 100.45010375976562]"
16000,"[63.40473175048828, 78.77268981933594, 77.2760238647461, 77.21731567382812, 78.53952026367188, 80.83116912841797, 80.08280944824219, 79.69210052490234, 77.25582885742188, 75.06145477294922, 59.40864181518555]","[74.7458724975586, 71.97440338134766, 77.60200500488281, 64.18069458007812, 60.5194091796875, 72.91834259033203, 75.51860046386719, 74.93396759033203, 73.51496887207031, 74.33351135253906, 77.29147338867188]","[77.11017608642578, 74.3250503540039, 63.59263610839844, 77.76980590820312, 72.10940551757812, 73.29576873779297, 64.73839569091797, 72.92994689941406, 72.73296356201172, 77.74253845214844, 58.57722473144531]","[59.47138977050781, 74.20238494873047, 74.19359588623047, 75.62017059326172, 75.06568908691406, 75.39901733398438, 73.6045913696289, 76.48303985595703, 75.4009017944336, 72.9175796508789, 78.66897583007812]","[62.62464904785156, 69.99420166015625, 75.2724609375, 77.20002746582031, 73.6439208984375, 70.36395263671875, 76.4708023071289, 74.05262756347656, 72.56619262695312, 76.75556182861328, 64.96573638916016]","[60.708412170410156, 75.8382568359375, 76.47918701171875, 79.39900207519531, 73.72711181640625, 72.73084259033203, 76.31794738769531, 77.25839233398438, 74.52586364746094, 73.70767974853516, 59.90776443481445]","[55.55959701538086, 73.611572265625, 75.30610656738281, 76.09476470947266, 76.69805145263672, 70.3554458618164, 77.36951446533203, 76.44331359863281, 74.78154754638672, 75.20256042480469, 85.35482025146484]","[77.80799102783203, 87.53858947753906, 89.74485778808594, 89.24225616455078, 85.69743347167969, 90.00505828857422, 87.07684326171875, 89.19779968261719, 85.13054656982422, 87.66710662841797, 83.27264404296875]","[59.56198501586914, 63.03523635864258, 59.88271713256836, 61.13077163696289, 65.69445037841797, 65.47856140136719, 62.00381851196289, 68.9653091430664, 63.843753814697266, 64.04270935058594, 63.27094650268555]","[59.59866714477539, 66.35536193847656, 75.50065612792969, 73.01515197753906, 76.07057189941406, 75.02034759521484, 76.85700225830078, 82.7536849975586, 72.76277923583984, 75.95603942871094, 73.89737701416016]"
24000,"[61.07332229614258, 73.71974182128906, 71.83244323730469, 75.70086669921875, 79.70121002197266, 80.88304901123047, 76.18911743164062, 72.99604034423828, 76.22008514404297, 66.01876068115234, 76.43109130859375]","[48.64423751831055, 67.63934326171875, 61.25029373168945, 69.1043930053711, 64.48857879638672, 70.76970672607422, 66.57185363769531, 66.6019287109375, 66.9444351196289, 65.01123046875, 64.22340393066406]","[54.91347122192383, 67.37366485595703, 60.85091018676758, 66.5009765625, 67.99260711669922, 71.84310150146484, 67.77046966552734, 71.62027740478516, 66.76879119873047, 65.8802490234375, 61.730228424072266]","[58.660091400146484, 70.49078369140625, 65.65750122070312, 61.86505889892578, 70.71267700195312, 65.86634063720703, 69.19388580322266, 76.40812683105469, 71.26362609863281, 66.15180206298828, 62.26202392578125]","[51.96688461303711, 68.83216094970703, 60.14472198486328, 64.171142578125, 70.75967407226562, 70.18753814697266, 67.4094467163086, 73.2595443725586, 67.75450134277344, 57.266265869140625, 51.59001922607422]","[70.1701431274414, 63.31686782836914, 60.60785675048828, 64.47454071044922, 67.46391296386719, 74.38760375976562, 73.73319244384766, 71.13090515136719, 65.91336059570312, 78.26310729980469, 58.158172607421875]","[55.60103225708008, 68.94857025146484, 56.500736236572266, 66.92153930664062, 72.16283416748047, 72.57257843017578, 72.59278869628906, 70.26089477539062, 74.07093811035156, 67.0628890991211, 54.356285095214844]","[48.26298141479492, 82.38646697998047, 77.76005554199219, 75.96021270751953, 79.46749114990234, 81.06204223632812, 82.80189514160156, 85.7313461303711, 77.36764526367188, 77.41920471191406, 77.97549438476562]","[31.641223907470703, 64.31134796142578, 64.8204345703125, 63.091529846191406, 67.44744110107422, 61.704654693603516, 64.3213882446289, 67.66132354736328, 57.77290725708008, 72.02881622314453, 64.47591400146484]","[41.02729415893555, 64.48925018310547, 68.13407897949219, 62.17933654785156, 60.959442138671875, 68.88693237304688, 64.4468002319336, 72.37468719482422, 65.80587768554688, 68.971923828125, 51.32826614379883]"
32000,"[73.63001251220703, 74.09215545654297, 72.26979064941406, 73.79168701171875, 76.24053192138672, 81.18065643310547, 77.2577896118164, 74.43267059326172, 72.94965362548828, 67.95134735107422, 65.76976776123047]","[42.672706604003906, 64.84538269042969, 66.21748352050781, 59.560909271240234, 66.23601531982422, 63.963768005371094, 71.1299057006836, 62.199825286865234, 61.99722671508789, 64.31464385986328, 61.02690887451172]","[57.11172103881836, 75.26736450195312, 56.170982360839844, 63.449893951416016, 71.05557250976562, 58.47162628173828, 67.64546203613281, 47.906822204589844, 58.29909896850586, 60.881202697753906, 72.02972412109375]","[59.53007888793945, 65.67030334472656, 66.31614685058594, 67.83892059326172, 66.10301971435547, 68.21275329589844, 61.06266403198242, 60.03617477416992, 68.5283203125, 62.486900329589844, 69.4502944946289]","[39.30063247680664, 67.5340805053711, 63.52006149291992, 71.58855438232422, 69.53717041015625, 62.03858947753906, 59.519920349121094, 59.570716857910156, 68.98275756835938, 59.16027069091797, 60.049537658691406]","[47.954925537109375, 61.43989562988281, 59.238765716552734, 66.5118637084961, 63.424320220947266, 68.65573120117188, 59.59657669067383, 61.98674011230469, 61.113670349121094, 58.774261474609375, 59.31004333496094]","[37.74101257324219, 66.3375015258789, 61.38692092895508, 71.10095977783203, 70.71514892578125, 64.43269348144531, 67.85195922851562, 57.85743713378906, 61.91510772705078, 62.702980041503906, 61.5616569519043]","[72.62712860107422, 77.07671356201172, 75.75182342529297, 74.54570007324219, 58.26261901855469, 81.13755798339844, 70.93111419677734, 83.72183990478516, 75.77681732177734, 82.96902465820312, 75.45222473144531]","[37.59676742553711, 65.13550567626953, 58.26692581176758, 68.81783294677734, 63.8094596862793, 64.3455581665039, 63.47809600830078, 61.14072036743164, 65.3350601196289, 59.0054817199707, 64.38232421875]","[46.26725387573242, 68.08464050292969, 58.580810546875, 68.96491241455078, 69.4435806274414, 64.78199005126953, 47.79763412475586, 58.225624084472656, 60.380821228027344, 55.09984588623047, 68.18968200683594]"
44100,"[60.753692626953125, 75.08456420898438, 70.17455291748047, 74.89763641357422, 70.66913604736328, 73.39035034179688, 75.69258117675781, 69.87918853759766, 75.60079193115234, 70.35694122314453, 64.08477020263672]","[44.66995620727539, 67.87371063232422, 63.72343826293945, 63.90570068359375, 59.199867248535156, 61.38462829589844, 70.41987609863281, 64.26596069335938, 54.77468490600586, 61.06718444824219, 48.316532135009766]","[55.944156646728516, 59.29273986816406, 63.71443176269531, 69.62201690673828, 60.465755462646484, 58.348026275634766, 60.706268310546875, 65.27513122558594, 57.645538330078125, 68.12901306152344, 61.26416778564453]","[61.044830322265625, 58.831016540527344, 40.85556411743164, 62.11372375488281, 69.13284301757812, 65.85096740722656, 62.586463928222656, 57.94241714477539, 58.604854583740234, 56.455894470214844, 66.2220687866211]","[53.095481872558594, 61.05976486206055, 68.3274154663086, 67.30448150634766, 61.166839599609375, 60.44325256347656, 62.91261672973633, 60.80956268310547, 66.31880950927734, 62.45089340209961, 59.645198822021484]","[46.264244079589844, 40.31443405151367, 63.006961822509766, 67.4157485961914, 57.650516510009766, 61.63758087158203, 68.856689453125, 59.98114013671875, 59.892513275146484, 62.40385055541992, 59.25847244262695]","[43.21528244018555, 33.782081604003906, 62.65699768066406, 66.36976623535156, 56.890560150146484, 60.45103073120117, 64.46009826660156, 59.01186752319336, 63.06215286254883, 61.18507385253906, 60.89360809326172]","[61.974945068359375, 72.21565246582031, 68.25244140625, 78.64949035644531, 74.40948486328125, 71.17911529541016, 71.05403137207031, 73.62393951416016, 65.00740814208984, 71.47391510009766, 68.4906997680664]","[56.77826690673828, 60.85943603515625, 74.53268432617188, 74.31023406982422, 59.358001708984375, 62.62528610229492, 65.7738265991211, 60.973941802978516, 56.982688903808594, 66.19779205322266, 60.183834075927734]","[66.82984924316406, 63.21586608886719, 64.21797943115234, 60.65426254272461, 59.15078353881836, 59.29598617553711, 62.416683197021484, 67.18999481201172, 54.852596282958984, 67.46985626220703, 61.96894073486328]"
48000,"[64.2336654663086, 68.6599349975586, 70.12451934814453, 71.15953063964844, 68.6026382446289, 72.03157043457031, 68.16520690917969, 70.44039154052734, 66.60398864746094, 63.37004852294922, 70.3172836303711]","[37.572364807128906, 63.84807586669922, 59.44020080566406, 64.13907623291016, 62.169857025146484, 65.50418090820312, 60.216148376464844, 63.39788055419922, 62.13688278198242, 63.00312423706055, 60.46682357788086]","[43.43935775756836, 61.04910659790039, 62.908966064453125, 63.48748779296875, 59.16940689086914, 71.85093688964844, 63.08723068237305, 59.57748031616211, 53.92579650878906, 64.84285736083984, 35.28258514404297]","[65.1716537475586, 60.33169937133789, 56.42022705078125, 66.04402160644531, 57.83694076538086, 65.77694702148438, 63.062232971191406, 62.02980422973633, 54.4002685546875, 61.100215911865234, 63.969547271728516]","[64.33069610595703, 62.281612396240234, 56.464080810546875, 60.97123336791992, 54.07585144042969, 39.26000213623047, 65.10030364990234, 60.81036376953125, 62.50991439819336, 61.57014083862305, 64.15918731689453]","[41.162322998046875, 57.61102294921875, 55.95680618286133, 55.181007385253906, 61.47067642211914, 61.88141632080078, 67.41055297851562, 67.20838928222656, 59.21846008300781, 55.78899383544922, 59.95661544799805]","[54.44721603393555, 55.69346237182617, 57.11454772949219, 61.01227569580078, 63.891544342041016, 62.8046760559082, 55.614906311035156, 63.18817138671875, 61.13033676147461, 57.686988830566406, 62.271968841552734]","[37.735313415527344, 69.7994155883789, 71.99414825439453, 72.37910461425781, 71.23666381835938, 73.96678924560547, 73.82086944580078, 74.6771240234375, 68.70086669921875, 82.61689758300781, 69.71794128417969]","[42.61874771118164, 64.19578552246094, 61.37948226928711, 65.5999755859375, 57.6725959777832, 58.02557373046875, 68.52629089355469, 53.15327072143555, 60.97711181640625, 65.18341827392578, 56.09784698486328]","[64.8125228881836, 70.0479965209961, 62.60084915161133, 68.6822738647461, 62.94757843017578, 62.87683868408203, 51.3452262878418, 58.854225158691406, 58.46354293823242, 54.405818939208984, 62.527889251708984]"
82000,,,,,,,,"[50.879600524902344, 71.34490966796875, 65.57379150390625, 73.30707550048828, 59.32476806640625, 62.190895080566406, 67.76600646972656, 62.29184341430664, 64.34313201904297, 69.72685241699219, 64.6350326538086]","[52.01045227050781, 67.11793518066406, 59.05620193481445, 64.74837493896484, 54.53615188598633, 55.29627227783203, 61.99709701538086, 59.652828216552734, 59.79563522338867, 48.56983184814453, 48.33732986450195]","[49.67962646484375, 49.229557037353516, 56.2304801940918, 57.09505844116211, 54.97523880004883, 57.521183013916016, 60.49546813964844, 39.11592102050781, 59.57837677001953, 56.273746490478516, 60.96800231933594]"
96000,,,,,,,,"[64.56716918945312, 68.60808563232422, 73.27954864501953, 61.56501770019531, 65.03233337402344, 64.32905578613281, 64.01602172851562, 58.7993049621582, 66.9554672241211, 41.55381393432617, 66.85755157470703]","[64.29842376708984, 60.818817138671875, 54.14460372924805, 54.74848175048828, 54.7147102355957, 55.42244338989258, 55.02052688598633, 65.49317932128906, 40.06231689453125, 61.71012496948242, 48.159759521484375]","[30.446535110473633, 55.71683120727539, 57.9151611328125, 65.7652816772461, 65.92435455322266, 57.52070999145508, 57.87298583984375, 58.5150146484375, 53.35676574707031, 57.21400451660156, 53.71760559082031]"
192000,,,,,,,,"[42.942317962646484, 51.9893798828125, 59.472740173339844, 53.673316955566406, 58.44485092163086, 53.64317321777344, 55.436649322509766, 59.478736877441406, 51.890663146972656, 58.77855682373047, 49.541290283203125]","[46.46402359008789, 48.510948181152344, 54.826202392578125, 49.03615951538086, 50.280723571777344, 44.57175064086914, 52.56438446044922, 42.74722671508789, 46.563899993896484, 57.37978744506836, 51.54570388793945]","[49.9881706237793, 58.638916015625, 50.94120788574219, 47.28570556640625, 44.87041091918945, 48.925621032714844, 47.77178955078125, 44.21986389160156, 53.904571533203125, 32.04091262817383]"
